ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
2020-07-01,°í¾ç(540),X,26.5,25,20.2,16.5,86,X, ,X,³·À½
2020-07-01,³²¾çÁÖ(541),X,26.4,25.6,20.5,17.4,78,X, ,X,³·À½
2020-07-01,¾È»ê(545),X,25.7,24.1,20.1,16.6,89,X, ,X,³·À½
2020-07-01,°æ±â±¤ÁÖ(546),X,25.9,24.1,19.5,16.4,87,X, ,X,³·À½
2020-07-01,¿©ÁÖ(548),X,24.1,21.5,18.7,16.3,91,X, ,X,³·À½
2020-07-01,¿ëÀÎ(549),X,24.4,22.5,19.5,16.4,86,X, ,X,³·À½
2020-07-01,¿À»ê(550),X,24.9,23.5,20.2,17,80,X, ,X,³·À½
2020-07-01,ÆòÅÃ(551),X,26,23.8,20.4,17.2,88,X, ,X,³·À½
2020-07-01,È­Ãµ(555),X,27.5,26.1,19.6,16,88,X, ,X,³·À½
2020-07-01,¾ç±¸(556),X,26.8,26,19.4,16.3,82,X, ,X,³·À½
2020-07-01,½ÃÈï(565),X,26.4,25.1,21.2,17.4,81,X, ,X,³·À½
2020-07-01,±¸¸®(569),X,26.7,25.8,21.1,17.4,72,X, ,X,³·À½
2020-07-01,È­¼º(571),X,25.1,23.6,20.8,17.6,82,X, ,X,³·À½
2020-07-01,¼º³²(572),X,25.1,23.7,20.4,16.9,79,X, ,X,º¸Åë
2020-07-01,°úÃµ(590),X,25.7,23.8,20.5,17.1,83,X, ,X,³·À½
2020-07-01,¾çÁÖ(598),X,26.5,25,19.7,16.3,84,X, ,X,³·À½
2020-07-01,´Ü¾ç(601),X,25.2,21.8,18.8,16.7,98,X, ,X,³·À½
2020-07-01,ÁøÃµ(602),X,25.6,23.8,19.6,16.4,87,X, ,X,³·À½
2020-07-01,±«»ê(603),X,24.8,23.4,19.4,16.5,86,X, ,X,³·À½
2020-07-01,¿ÁÃµ(604),X,26.9,25.8,20.4,17.2,80,X, ,X,³·À½
2020-07-01,È«ºÏ(608),X,27.5,25.6,20.2,15.9,91,X, ,X,³·À½
2020-07-01,°øÁÖ(612),X,27.5,26.6,21,16.6,83,X, ,X,³·À½
2020-07-01,¼­Ãµ(614),X,26.8,25.2,21.8,18.8,76,X, ,X,³·À½
2020-07-01,³í»ê(615),X,27.2,26.1,21.4,17.9,80,X, ,X,³·À½
2020-07-01,´çÁø(616),X,25.4,23.9,20.2,17.1,86,X, ,X,³·À½
2020-07-01,Ã»¾ç(618),X,26.3,24.9,20,16,86,X, ,X,³·À½
2020-07-01,À½¼º(619),X,24.8,22.9,19.1,16.4,90,X, ,X,³·À½
2020-07-01,ÁõÆò(623),X,25.4,23,19.5,16.6,91,X, ,X,³·À½
2020-07-01,ÅÂ¾È(627),X,26.5,24.1,20,17.1,93,X, ,X,³·À½
2020-07-01,¿¹»ê(628),X,26.5,24.4,21,17.1,85,X, ,X,³·À½
2020-07-01,¾Æ»ê(634),X,26.9,25.7,21,16.9,83,X, ,X,³·À½
2020-07-01,°è·æ(636),X,25.4,24.4,20,16.4,78,X, ,X,³·À½
2020-07-01,¿¬ÃµÃ»»ê(652),X,26.4,25.1,19.7,16.4,89,X, ,X,³·À½
2020-07-01,¾ç¾ç(670),X,27.2,24.7,19.8,16.5,93,X, ,X,³·À½
2020-07-01,¹«¾È(699),X,27.7,26.3,21.5,18.1,81,X, ,X,³·À½
2020-07-01,¹«ÁÖ(701),X,27.3,26,20,16.5,89,X, ,X,³·À½
2020-07-01,ÀÍ»ê(702),X,27.5,26.2,21.3,17.3,80,X, ,X,³·À½
2020-07-01,Áø¾È(703),X,25.4,24.4,19,15.6,83,X, ,X,³·À½
2020-07-01,´ã¾ç(706),X,29.7,28.7,22.3,18.3,81,X, ,X,³·À½
2020-07-01,±¸·Ê(709),X,28.6,27.7,21.9,18.2,76,X,°ü½É,X,³·À½
2020-07-01,³ªÁÖ(710),X,28.7,27.7,21.9,17.7,79,X, ,X,³·À½
2020-07-01,¼øÃµ½Ã(712),X,29.2,29.1,23.6,20,69,X, ,X,³·À½
2020-07-01,±¤¾çÀ¾(713),X,28.4,29.9,23.5,19.2,54,X,°ü½É,X,³·À½
2020-07-01,Àå¼º(730),X,28.2,27.5,21.5,17.7,78,X, ,X,³·À½
2020-07-01,¿µ¾Ï(731),X,28.5,27.5,21.9,18.2,81,X, ,X,³·À½
2020-07-01,º¸¼º(732),X,28.2,27.4,21.6,17.5,74,X, ,X,³·À½
2020-07-01,¿ÏÁÖ(734),X,27.4,26.2,20.4,16.7,84,X, ,X,³·À½
2020-07-01,±èÁ¦(737),X,26.9,25.6,21.4,17.9,76,X, ,X,³·À½
2020-07-01,È­¼ø(741),X,27.8,27.8,21.8,18,69,X, ,X,³·À½
2020-07-01,ÇÔÆò(754),X,28.4,27.1,21.7,17.4,81,X, ,X,³·À½
2020-07-01,°î¼º(768),X,27.8,27.6,21.4,17.7,71,X, ,X,³·À½
2020-07-01,¾ÐÇØµµ(789),X,28.4,26.4,22,19.1,83,X, ,X,³·À½
2020-07-01,¿µ¾ç(801),X,25.5,23.9,19,15.9,88,X, ,X,³·À½
2020-07-01,¼ºÁÖ(810),X,26.7,26.5,21.7,18.4,71,X, ,X,³·À½
2020-07-01,°í·É(812),X,27.1,26.4,21.5,18.1,83,X, ,X,³·À½
2020-07-01,Ã»µµ(813),X,26.9,25.9,21.7,18.4,78,X, ,X,³·À½
2020-07-01,¿¹Ãµ(815),X,24.9,,20,,79,X, ,X,³·À½
2020-07-01,±èÃµ(822),X,28.2,27.1,21.6,17.9,81,X,°ü½É,X,³·À½
2020-07-01,±ºÀ§(823),X,26.3,24.9,20.7,17.3,84,X, ,X,³·À½
2020-07-01,Ä¥°î(825),X,26.7,25.6,21.9,18.5,79,X, ,X,³·À½
2020-07-01,°æ»ê(827),X,27.3,26.9,22.3,18.9,70,X, ,X,³·À½
2020-07-01,»ïÃ´(876),X,25.3,24.1,19.2,16.6,77,X, ,X,³·À½
2020-07-01,¼ÓÃÊ(90),X,26.3,25,19.5,16.1,81,X, ,X,³·À½
2020-07-01,»ïÃµÆ÷(907),X,28.5,27.5,22.1,19.2,77,X, ,X,³·À½
2020-07-01,°í¼º(918),X,27.5,26.4,21.4,18.1,82,X, ,X,³·À½
2020-07-01,Ã¢³ç(919),X,28.5,27.7,22.9,19.5,74,X, ,X,³·À½
2020-07-01,ÇÔ¾È(920),X,29.1,27.7,22.4,19.6,78,X, ,X,³·À½
2020-07-01,ºÏÃáÃµ(93),X,26.4,25,19.8,16.4,87.4,X, ,X,³ôÀ½
2020-07-01,ÇÏµ¿(932),X,28.6,27.9,22.3,18.7,77,X, ,X,³·À½
2020-07-01,Ã¶¿ø(95),X,27.5,25.3,19.6,16.2,94,X, ,X,³·À½
2020-07-01,µ¿µÎÃµ(98),X,26.6,24.3,19.7,16.2,89.8,X, ,X,³·À½
2020-07-01,ÆÄÁÖ(99),X,27.5,25.3,20,16.2,90.8,X, ,X,³·À½
2020-07-02,ºÏ°­¸ª(104),X,28.5,28.6,22.7,16.3,65.8,X, ,X,À§Çè
2020-07-02,µ¿ÇØ(106),X,27,26.9,21.1,15.9,72,X, ,X,³·À½
2020-07-02,¼­¿ï(108),X,30.2,29.8,24.2,20.4,74.5,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,ÀÎÃµ(112),X,28.1,26.8,22.9,20.3,78.3,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,¿øÁÖ(114),X,28.9,29.9,24.2,17.9,60,X,°ü½É,X,³·À½
2020-07-02,¿ï¸ªµµ(115),X,25.4,23.4,20.1,16.9,73.4,X, ,X,³·À½
2020-07-02,¼ö¿ø(119),X,30.2,29.5,23.8,19,80,X, ,X,³·À½
2020-07-02,¿µ¿ù(121),X,29.4,29.9,22.8,17.1,71.9,X, ,X,³·À½
2020-07-02,ÃæÁÖ(127),X,29,29.5,23.6,16.7,70.6,X, ,X,³·À½
2020-07-02,¼­»ê(129),X,29.8,28.8,22.9,19.1,79.5,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,¿ïÁø(130),X,26.1,25.2,20,15.4,77.5,X, ,X,³·À½
2020-07-02,Ã»ÁÖ(131),X,30,30.1,24.6,19.1,65.9,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,´ëÀü(133),X,29.9,28.8,23.5,17.7,76.8,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,ÃßÇ³·É(135),X,27.4,27.2,21.2,15.3,74.9,X, ,X,³·À½
2020-07-02,¾Èµ¿(136),X,29.3,29.7,22.3,16.3,70.5,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,»óÁÖ(137),X,29.5,28.5,22.5,16.7,81,X, ,X,³·À½
2020-07-02,Æ÷Ç×(138),X,28,26.9,22.9,18.6,70.1,X, ,X,³·À½
2020-07-02,±º»ê(140),X,29,27.9,22.5,17.9,79.1,X, ,X,³·À½
2020-07-02,´ë±¸(143),X,28.3,28.8,23.6,18.3,64.1,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,ÀüÁÖ(146),X,30.5,30,23,17.9,78.4,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,¿ï»ê(152),X,27.4,25.9,21.7,17.6,74.5,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,Ã¢¿ø(155),X,28,26.6,21.8,18.3,72.3,X, ,X,³ôÀ½
2020-07-02,±¤ÁÖ(156),X,29.4,28.1,23.1,18.6,80.4,X,°ü½É,X,¸Å¿ì³ôÀ½
2020-07-02,ºÎ»ê(159),X,27.3,25.8,21.7,19,72.5,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,Åë¿µ(162),X,27.5,26.6,22,18.3,78.6,X, ,X,³·À½
2020-07-02,¸ñÆ÷(165),X,28.7,27.4,23,19.3,77.1,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,¿©¼ö(168),X,26.5,24.7,22.3,20.1,78,X, ,X,³·À½
2020-07-02,Èæ»êµµ(169),X,25.4,23.3,19.9,18.2,87.9,X, ,X,³·À½
2020-07-02,¿Ïµµ(170),X,28.1,26.5,22.1,17.7,78.8,X, ,X,³·À½
2020-07-02,°íÃ¢(172),X,28.8,27.9,22.4,16.8,81.4,X, ,X,³·À½
2020-07-02,Á¦ÁÖ(184),X,26.3,25.2,23,20.2,66.4,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,ÁøÁÖ(192),X,28.7,27.1,21.6,16.5,81.4,X, ,X,³·À½
2020-07-02,¾çÆò(202),X,28.7,28.9,22.9,17.4,75.4,X,°ü½É,X,³·À½
2020-07-02,ÀÌÃµ(203),X,29.7,29.4,23.3,17.1,78.1,X, ,X,³·À½
2020-07-02,ÀÎÁ¦(211),X,29.7,30.2,21.8,16.2,79.3,X, ,X,³·À½
2020-07-02,È«Ãµ(212),X,29.9,29.9,23.2,17.2,72.3,X,°ü½É,X,³·À½
2020-07-02,ÅÂ¹é(216),X,25.6,25.8,18.2,10.9,77.3,X, ,X,³·À½
2020-07-02,Á¤¼±±º(217),X,29.2,29.4,21.6,15.7,75.8,X, ,X,³·À½
2020-07-02,Á¦Ãµ(221),X,29,29.1,22.2,15.2,74.3,X, ,X,³·À½
2020-07-02,º¸Àº(226),X,28.6,29.1,22.5,17.3,75.9,X, ,X,³·À½
2020-07-02,Ãµ¾È(232),X,28.9,28.1,22.4,16.9,82.4,X,°ü½É,X,³·À½
2020-07-02,º¸·É(235),X,28.7,27.5,22.4,18.2,81.1,X, ,X,³·À½
2020-07-02,ºÎ¿©(236),X,29.5,28.7,22.8,17,80.5,X, ,X,³·À½
2020-07-02,±Ý»ê(238),X,28.9,28.7,21.9,15.6,79.9,X, ,X,³·À½
2020-07-02,¼¼Á¾(239),X,28.7,28.2,23.2,17.6,74,X, ,X,³ôÀ½
2020-07-02,ºÎ¾È(243),X,29.7,28.9,22.8,17.7,80.8,X, ,X,³·À½
2020-07-02,ÀÓ½Ç(244),X,28,26.7,21.4,15.8,83.9,X, ,X,³·À½
2020-07-02,Á¤À¾(245),X,28.7,28.1,22.4,16.4,76.6,X, ,X,³·À½
2020-07-02,³²¿ø(247),X,28.3,26.8,22.1,16.6,79.6,X, ,X,³·À½
2020-07-02,Àå¼ö(248),X,27.6,26.2,20.1,14.5,89.4,X, ,X,³·À½
2020-07-02,¿µ±¤±º(252),X,28.8,27.8,22.3,17,79.8,X, ,X,³·À½
2020-07-02,±èÇØ½Ã(253),X,28.9,27.1,22.5,18.7,76.3,X, ,X,³·À½
2020-07-02,¼øÃ¢±º(254),X,28.3,27.2,22.6,16.7,78.5,X, ,X,³·À½
2020-07-02,¾ç»ê½Ã(257),X,29.7,28.8,23.1,18.3,71.6,X, ,X,³·À½
2020-07-02,°­Áø±º(259),X,29.1,28.1,22.3,17.3,77.8,X, ,X,³·À½
2020-07-02,ÀåÈï(260),X,28.1,26.6,21.6,16.7,81.4,X, ,X,³·À½
2020-07-02,ÇØ³²(261),X,28.8,27.4,21.6,16.3,81.3,X, ,X,³·À½
2020-07-02,°íÈï(262),X,27.4,26,21.4,16.5,82.4,X, ,X,³·À½
2020-07-02,ÀÇ·É±º(263),X,28.7,27.7,22.3,17.5,77.3,X, ,X,³·À½
2020-07-02,ÇÔ¾ç±º(264),X,28.1,27.3,21.3,15,77.8,X, ,X,³·À½
2020-07-02,Áøµµ±ºASOS(268),X,,,,,82.3,X, ,X,³·À½
2020-07-02,ºÀÈ­(271),X,27,26.7,19.6,13.5,81.6,X, ,X,³·À½
2020-07-02,¿µÁÖ(272),X,27.9,27.9,21.5,13.5,73.4,X, ,X,³·À½
2020-07-02,¹®°æ(273),X,28.1,27.8,21.7,15.6,79.6,X, ,X,³·À½
2020-07-02,Ã»¼Û±º(276),X,29,28.5,20.2,14.8,84.4,X, ,X,³·À½
2020-07-02,¿µ´ö(277),X,28.8,28.2,20.9,15.7,74.1,X, ,X,³·À½
2020-07-02,ÀÇ¼º(278),X,29.3,28.9,21.5,15.3,79.3,X, ,X,³·À½
2020-07-02,±¸¹Ì(279),X,30.1,29.2,23.4,17.4,79.4,X, ,X,³·À½
2020-07-02,¿µÃµ(281),X,28.1,27.8,21.9,16,75.1,X, ,X,³·À½
2020-07-02,°æÁÖ½Ã(283),X,29.2,28.8,22.4,17.4,76.1,X, ,X,³·À½
2020-07-02,°ÅÃ¢(284),X,28.2,27.1,21,15.1,81.1,X, ,X,³·À½
2020-07-02,ÇÕÃµ(285),X,28.2,27.3,22,16.7,79.9,X, ,X,³·À½
2020-07-02,¹Ð¾ç(288),X,28.4,28.1,22.9,18.5,71.8,X, ,X,³·À½
2020-07-02,»êÃ»(289),X,27.9,26.2,21.7,15.8,78.5,X, ,X,³·À½
2020-07-02,°ÅÁ¦(294),X,27.3,26.1,21.7,17.4,76.5,X, ,X,³·À½
2020-07-02,³²ÇØ(295),X,27.9,26.5,21.9,18.3,79.8,X, ,X,³·À½
2020-07-02,ºÎÃµ(433),X,,28.3,23,19.5,,X, ,X,³·À½
2020-07-02,¾È¾ç(434),X,,29,23.8,20,,X, ,X,³·À½
2020-07-02,±¤¸í(437),X,,29.8,24.4,20.4,,X, ,X,³·À½
2020-07-02,±ºÆ÷(438),X,,29.6,23.7,19,,X, ,X,³·À½
2020-07-02,±èÆ÷(441),X,,28.7,23.2,19.7,,X, ,X,³·À½
2020-07-02,ÇÏ³²(444),X,,30.3,23.3,17.5,,X, ,X,³·À½
2020-07-02,ÀÇ¿Õ(445),X,,27.2,21.9,16.6,,X, ,X,³·À½
2020-07-02,Æ÷Ãµ(504),X,29.5,29.6,23.4,16.8,68,X,°ü½É,X,³·À½
2020-07-02,°¡ÆòÁ¶Á¾(505),X,29.4,29.2,22.3,16.1,76,X,°ü½É,X,³·À½
2020-07-02,¾È¼º(516),X,30.4,29.3,23.5,17.7,77,X, ,X,³·À½
2020-07-02,°£¼º(517),X,28,25.6,21.6,16.1,87,X, ,X,³·À½
2020-07-02,ÆòÃ¢(526),X,29.3,30.6,22.6,16.7,65,X, ,X,³·À½
2020-07-02,ÀÇÁ¤ºÎ(532),X,30.8,29.5,23.5,17.9,86,X, ,X,³·À½
2020-07-02,È¾¼º(536),X,29.9,29.7,23.1,16,76,X, ,X,³·À½
2020-07-02,°í¾ç(540),X,31.4,31.1,24,18.1,77,X, ,X,³·À½
2020-07-02,³²¾çÁÖ(541),X,29.4,29.8,24.1,18.2,70,X, ,X,³·À½
2020-07-02,¾È»ê(545),X,29.9,29,22.4,16.3,81,X, ,X,³·À½
2020-07-02,°æ±â±¤ÁÖ(546),X,29.1,29.1,22.6,17.7,77,X,°ü½É,X,³·À½
2020-07-02,¿©ÁÖ(548),X,29.2,29.1,22.9,16.6,75,X, ,X,³·À½
2020-07-02,¿ëÀÎ(549),X,29.1,28.8,22.7,17,75,X, ,X,³·À½
2020-07-02,¿À»ê(550),X,29.1,28.9,23.3,18,71,X, ,X,³·À½
2020-07-02,ÆòÅÃ(551),X,30.6,29.5,23.6,18,78,X, ,X,³·À½
2020-07-02,È­Ãµ(555),X,30.4,30.9,23.1,16.9,77,X, ,X,³·À½
2020-07-02,¾ç±¸(556),X,30.2,30.6,22.9,17,74,X, ,X,³·À½
2020-07-02,½ÃÈï(565),X,29.7,29.2,23.5,18.6,77,X, ,X,³·À½
2020-07-02,±¸¸®(569),X,30.4,30.6,24.6,19.2,66,X, ,X,³·À½
2020-07-02,È­¼º(571),X,30,29.5,23.4,18.8,75,X, ,X,³·À½
2020-07-02,¼º³²(572),X,28.9,29,23.9,18.2,69,X, ,X,¸Å¿ì³ôÀ½
2020-07-02,°úÃµ(590),X,30.4,29.8,23.4,17.2,78,X, ,X,³·À½
2020-07-02,¾çÁÖ(598),X,29.8,29.1,23.4,16.6,77,X, ,X,³·À½
